pid,name,usage_count,inactive_seconds,cpu_percent,memory_mb,battery,probability,decision
0,[System Process],0,2,0.00,0,0,0.000,SUSPEND
4,System,0,2,0.00,0,0,0.000,SUSPEND
236,Secure System,0,2,0.00,0,0,0.000,SUSPEND
280,Registry,0,2,0.00,0,0,0.000,SUSPEND
908,smss.exe,0,2,0.00,0,0,0.000,SUSPEND
1496,csrss.exe,0,2,0.00,0,0,0.000,SUSPEND
1600,wininit.exe,0,2,0.00,0,0,0.000,SUSPEND
1676,services.exe,0,2,0.00,0,0,0.000,SUSPEND
1696,LsaIso.exe,0,2,0.00,0,0,0.000,SUSPEND
1708,lsass.exe,0,2,0.00,0,0,0.000,SUSPEND
1916,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
1932,fontdrvhost.exe,0,2,0.00,0,0,0.000,SUSPEND
2036,WUDFHost.exe,0,2,0.00,0,0,0.000,SUSPEND
1020,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
1480,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
1592,WUDFHost.exe,0,2,0.00,0,0,0.000,SUSPEND
2168,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2192,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2200,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2208,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2368,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2428,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2436,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2500,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2528,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2624,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2672,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2788,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2800,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2836,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2856,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2064,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2340,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
2348,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
3180,IntelCpHDCPSvc.exe,0,2,0.00,0,0,0.000,SUSPEND
3396,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
3568,svchost.exe,0,2,0.00,0,0,0.000,SUSPEND
3620,scsecsvc.exe,0,2,0.00,0,0,0.000,SUSPEND
3628,OmenCap.exe,0,2,0.00,0,0,0.000,SUSPEND
3772,NVDisplay.Container.exe,0,2,0.00,0,0,0.000,SUSPEND
3804,bssiss.exe,0,2,0.00,0,0,0.000,SUSPEND
